CS_type,phaseOrigin,trial,stim,memcond,cs_duration,iti_duration,phase,category,memCond_by_phase,shocked_day1
CSp,acq,t_036,stims/tools/neckpillow_simB.jpg,sim,4,3,bps1,tool,sim_acq_CSp,noUS
CSm,acq,t_037,stims/animals/gerbil.jpg,old,4,3,bps1,animal,old_acq_CSm,noUS
CSm,bps,t_038,stims/animals/crow.jpg,new,4,2,bps2,animal,new_bps_CSm,noUS
CSm,acq,t_039,stims/animals/rabbitt_simB.jpg,sim,4,3,bps1,animal,sim_acq_CSm,noUS
CSm,acq,t_040,stims/animals/llama.jpg,old,4,3,bps1,animal,old_acq_CSm,noUS
CSp,bps,t_041,stims/tools/carpetblower.jpg,new,4,2,bps1,tool,new_bps_CSp,noUS
CSp,ext,t_042,stims/tools/funnel_simB.jpg,sim,4,3,bps1,tool,sim_ext_CSp,noUS
CSp,ext,t_043,stims/tools/shoehorn.jpg,old,4,2,bps1,tool,old_ext_CSp,noUS
CSp,acq,t_044,stims/tools/vegetablepeeler.jpg,old,4,3,bps1,tool,old_acq_CSp,US
CSm,acq,t_045,stims/animals/orangutan_simB.jpg,sim,4,3,bps1,animal,sim_acq_CSm,noUS
CSp,bps,t_046,stims/tools/measuringtape.jpg,new,4,2,bps1,tool,new_bps_CSp,noUS
CSp,bps,t_047,stims/tools/duffelbag.jpg,new,4,2,bps1,tool,new_bps_CSp,noUS
CSp,acq,t_048,stims/tools/barstool_simB.jpg,sim,4,3,bps1,tool,sim_acq_CSp,US
CSm,acq,t_049,stims/animals/cat_simB.jpg,sim,4,3,bps1,animal,sim_acq_CSm,noUS
CSm,bps,t_050,stims/animals/herring.jpg,new,4,2,bps1,animal,new_bps_CSm,noUS
CSp,ext,t_051,stims/tools/paperlantern_simB.jpg,sim,4,3,bps1,tool,sim_ext_CSp,noUS
CSm,ext,t_052,stims/animals/skunk.jpg,old,4,2,bps1,animal,old_ext_CSm,noUS
CSm,bps,t_053,stims/animals/palmcockatoo.jpg,new,4,2,bps1,animal,new_bps_CSm,noUS
CSp,ext,t_054,stims/tools/weldinghelmet.jpg,old,4,2,bps1,tool,old_ext_CSp,noUS
CSp,bps,t_055,stims/tools/viceclamp.jpg,new,4,2,bps1,tool,new_bps_CSp,noUS
CSp,acq,t_056,stims/tools/reflexhammer.jpg,old,4,3,bps1,tool,old_acq_CSp,noUS
CSm,bps,t_057,stims/animals/pelican.jpg,new,4,2,bps1,animal,new_bps_CSm,noUS
CSp,bps,t_058,stims/tools/videogamecontroller.jpg,new,4,2,bps2,tool,new_bps_CSp,noUS
CSm,ext,t_059,stims/animals/caterpillarpeacockmoth.jpg,old,4,2,bps1,animal,old_ext_CSm,noUS
CSm,ext,t_060,stims/animals/turkey.jpg,old,4,2,bps1,animal,old_ext_CSm,noUS
CSm,bps,t_061,stims/animals/pigeon.jpg,new,4,2,bps2,animal,new_bps_CSm,noUS
CSp,ext,t_062,stims/tools/rollingpin.jpg,old,4,2,bps1,tool,old_ext_CSp,noUS
CSm,ext,t_063,stims/animals/griffinVulture_simB.jpg,sim,4,2,bps1,animal,sim_ext_CSm,noUS
CSp,acq,t_064,stims/tools/padlock.jpg,old,4,3,bps1,tool,old_acq_CSp,US
CSm,acq,t_065,stims/animals/kangaroo_simB.jpg,sim,4,3,bps1,animal,sim_acq_CSm,noUS
CSm,ext,t_066,stims/animals/cricket.jpg,old,4,2,bps1,animal,old_ext_CSm,noUS
CSp,bps,t_067,stims/tools/camera.jpg,new,4,2,bps1,tool,new_bps_CSp,noUS
CSp,ext,t_068,stims/tools/hockeystick_simB.jpg,sim,4,3,bps1,tool,sim_ext_CSp,noUS
CSp,acq,t_069,stims/tools/netscoop_simB.jpg,sim,4,3,bps1,tool,sim_acq_CSp,noUS
CSp,bps,t_070,stims/tools/kettle.jpg,new,4,2,bps2,tool,new_bps_CSp,noUS
CSp,acq,t_071,stims/tools/lantern_simB.jpg,sim,4,3,bps1,tool,sim_acq_CSp,US
CSm,acq,t_072,stims/animals/hummingbird.jpg,old,4,3,bps1,animal,old_acq_CSm,noUS
