CS_type,phaseOrigin,trial,stim,memcond,cs_duration,iti_duration,phase,category,memCon_by_phase,shocked_day1
CSm,bps,t_020,stims/tools/smartphone.jpg,new,5,3,bps1,tool,NEW_CS-,noUS
CSm,acq,t_021,stims/tools/extensioncord.jpg,old,5,2,bps1,tool,old_acq_CSm,noUS
CSm,acq,t_022,stims/tools/lighterbic_simB.jpg,sim,5,3,bps1,tool,SIM_ACQ_b_CS-,noUS
CSm,bps,t_023,stims/tools/eraser.jpg,new,5,2,bps1,tool,new_CSm,noUS
CSm,ext,t_024,stims/tools/magnifyingglass_simB.jpg,sim,5,2,bps1,tool,SIM_EXT_b_CS-,noUS
CSp,bps,t_025,stims/animals/pelican.jpg,new,5,3,bps1,animal,new_CSp,noUS
CSm,bps,t_026,stims/tools/benchdogs.jpg,new,5,3,bps1,tool,new_CSm,noUS
CSp,ext,t_027,stims/animals/partridge.jpg,old,5,2,bps1,animal,old_ext_CSp,noUS
CSm,ext,t_028,stims/tools/edger.jpg,old,5,3,bps1,tool,old_ext_CSm,noUS
CSm,bps,t_029,stims/tools/carpetblower.jpg,new,5,3,bps1,tool,new_CSm,noUS
CSp,acq,t_030,stims/animals/griffinVulture_simB.jpg,sim,5,3,bps1,animal,sim_acq_b_CSp,YES_US
CSp,acq,t_031,stims/animals/hyena.jpg,old,5,3,bps1,animal,old_acq_CSp,YES_US
CSp,ext,t_032,stims/animals/turtle_simB.jpg,sim,5,2,bps1,animal,sim_ext_b_CSp,noUS
CSm,acq,t_033,stims/tools/cheesegrater_simB.jpg,sim,5,3,bps1,tool,sim_acq_a_CSm,noUS
CSm,ext,t_034,stims/tools/vegetablepeeler.jpg,old,5,3,bps1,tool,old_ext_CSm,noUS
CSp,ext,t_035,stims/animals/seahorse_simB.jpg,sim,5,2,bps1,animal,SIM_EXT_a_CS+,noUS
CSp,acq,t_036,stims/animals/frog_simB.jpg,sim,5,2,bps1,animal,sim_acq_a_CSp,YES_US
CSm,acq,t_037,stims/tools/airpump.jpg,old,5,2,bps1,tool,old_acq_CSm,noUS
CSp,bps,t_038,stims/animals/perch.jpg,new,5,2,bps1,animal,new_CSp,noUS
CSm,acq,t_039,stims/tools/workbench.jpg,old,5,2,bps1,tool,old_acq_CSm,noUS
CSm,bps,t_040,stims/tools/viceclamp.jpg,new,5,3,bps1,tool,NEW_CS-,noUS
CSm,acq,t_041,stims/tools/shoehorn.jpg,old,5,3,bps1,tool,OLD_ACQ_CS-,noUS
CSp,ext,t_042,stims/animals/skunk.jpg,old,5,2,bps1,animal,OLD_EXT_CS+,noUS
CSm,ext,t_043,stims/tools/toolbox_simB.jpg,sim,5,3,bps1,tool,sim_ext_b_CSm,noUS
CSm,acq,t_044,stims/tools/allenwrench_simB.jpg,sim,5,2,bps1,tool,SIM_ACQ_b_CS-,noUS
CSp,acq,t_045,stims/animals/bison_simB.jpg,sim,5,2,bps1,animal,SIM_ACQ_a_CS+,YES_US
CSm,ext,t_046,stims/tools/paperclip_simB.jpg,sim,5,3,bps1,tool,SIM_EXT_b_CS-,noUS
CSp,acq,t_047,stims/animals/rhino.jpg,old,5,3,bps1,animal,old_acq_CSp,noUS
CSp,bps,t_048,stims/animals/herring.jpg,new,5,3,bps1,animal,new_CSp,noUS
CSp,ext,t_049,stims/animals/prayingmantis.jpg,old,5,2,bps1,animal,old_ext_CSp,noUS
CSm,bps,t_050,stims/tools/measuringtape.jpg,new,5,3,bps1,tool,new_CSm,noUS
CSp,bps,t_051,stims/animals/anteater.jpg,new,5,3,bps1,animal,new_CSp,noUS
CSp,bps,t_052,stims/animals/donkey.jpg,new,5,3,bps1,animal,new_CSp,noUS
CSm,ext,t_053,stims/tools/whistle_simB.jpg,sim,5,3,bps1,tool,sim_ext_a_CSm,noUS
CSm,bps,t_054,stims/tools/levelmount.jpg,new,5,3,bps1,tool,new_CSm,noUS
CSp,bps,t_055,stims/animals/octopus.jpg,new,5,2,bps1,animal,new_CSp,noUS
CSm,ext,t_056,stims/tools/weedeater.jpg,old,5,3,bps1,tool,old_ext_CSm,noUS
CSm,bps,t_057,stims/tools/treadmill.jpg,new,5,2,bps1,tool,NEW_CS-,noUS
CSp,ext,t_058,stims/animals/waterdragon.jpg,old,5,3,bps1,animal,old_ext_CSp,noUS
CSm,bps,t_059,stims/tools/transmissionwrench.jpg,new,5,2,bps1,tool,new_CSm,noUS
CSp,acq,t_060,stims/animals/angelfish.jpg,old,5,2,bps1,animal,old_acq_CSp,YES_US
CSp,bps,t_061,stims/animals/ostrich.jpg,new,5,2,bps1,animal,NEW_CS+,noUS
CSm,ext,t_062,stims/tools/broom_simB.jpg,sim,5,3,bps1,tool,sim_ext_b_CSm,noUS
CSp,ext,t_063,stims/animals/cricket.jpg,old,5,2,bps1,animal,old_ext_CSp,noUS
CSm,acq,t_064,stims/tools/cowboyboot_simB.jpg,sim,5,2,bps1,tool,sim_acq_a_CSm,noUS
CSp,bps,t_065,stims/animals/crow.jpg,new,5,3,bps1,animal,new_CSp,noUS
CSp,bps,t_066,stims/animals/salmon.jpg,new,5,3,bps1,animal,new_CSp,noUS
CSp,ext,t_067,stims/animals/bug_simB.jpg,sim,5,2,bps1,animal,sim_ext_a_CSp,noUS
CSp,ext,t_068,stims/animals/chicken_simB.jpg,sim,5,3,bps1,animal,sim_ext_b_CSp,noUS
CSp,bps,t_069,stims/animals/dog.jpg,new,5,2,bps1,animal,NEW_CS+,noUS
CSm,acq,t_070,stims/tools/scissors_simB.jpg,sim,5,3,bps1,tool,sim_acq_b_CSm,noUS
CSm,acq,t_071,stims/tools/thimble_simB.jpg,sim,5,2,bps1,tool,sim_acq_b_CSm,noUS
CSm,ext,t_072,stims/tools/paintbrush.jpg,old,5,2,bps1,tool,OLD_EXT_CS-,noUS
