CS_type,phaseOrigin,trial,stim,mem_con,cs_duration,iti_duration,phase,category,memCon_by_phase,,shocked_day1
CSm,ext,t_035,stims/animals/slug_simB.jpg,sim,5,2,bps2,animal,SIM_EXT_CSm,,noUS
CSp,bps,t_036,stims/tools/wheelbarrow.jpg,new,5,2,bps2,tool,NEW_BPS_CSp,,noUS
CSp,ext,t_037,stims/tools/plunger.jpg,old,5,3,bps2,tool,OLD_EXT_CSp,,noUS
CSp,acq,t_038,stims/tools/envelope_simB.jpg,sim,5,3,bps2,tool,SIM_ACQ_CSp,,noUS
CSm,bps,t_039,stims/animals/ostrich.jpg,new,5,3,bps2,animal,NEW_BPS_CSm,,noUS
CSm,bps,t_040,stims/animals/sparrow.jpg,new,5,3,bps2,animal,NEW_BPS_CSm,,noUS
CSp,acq,t_041,stims/tools/ropeandpulley.jpg,old,5,3,bps2,tool,OLD_ACQ_CSp,,noUS
CSm,bps,t_042,stims/animals/reindeer.jpg,new,5,3,bps2,animal,NEW_BPS_CSm,,noUS
CSm,ext,t_043,stims/animals/mouse.jpg,old,5,3,bps2,animal,OLD_EXT_CSm,,noUS
CSp,acq,t_044,stims/tools/vegetablepeeler.jpg,old,5,3,bps2,tool,OLD_ACQ_CSp,,YES_US
CSp,bps,t_045,stims/tools/blackboard.jpg,new,5,3,bps2,tool,NEW_BPS_CSp,,noUS
CSm,ext,t_046,stims/animals/bat_simB.jpg,sim,5,3,bps2,animal,SIM_EXT_CSm,,noUS
CSm,bps,t_047,stims/animals/koi.jpg,new,5,3,bps2,animal,NEW_BPS_CSm,,noUS
CSm,base,t_048,stims/animals/goldfish_simB.jpg,sim,5,3,bps2,animal,SIM_BL_CSm,,noUS
CSp,bps,t_049,stims/tools/microwave.jpg,new,5,3,bps2,tool,NEW_BPS_CSp,,noUS
CSm,acq,t_050,stims/animals/seahorse_simB.jpg,sim,5,3,bps2,animal,SIM_ACQ_CSm,,noUS
CSp,bps,t_051,stims/tools/ladder.jpg,new,5,3,bps2,tool,NEW_BPS_CSp,,noUS
CSm,acq,t_052,stims/animals/rabbitt_simB.jpg,sim,5,3,bps2,animal,SIM_ACQ_CSm,,noUS
CSm,ext,t_053,stims/animals/marmot.jpg,old,5,3,bps2,animal,OLD_EXT_CSm,,noUS
CSp,base,t_054,stims/tools/spork_simB.jpg,sim,5,3,bps2,tool,SIM_BL_CSp,,noUS
CSp,base,t_055,stims/tools/measuringdevice.jpg,old,5,3,bps2,tool,OLD_BL_CSp,,noUS
CSp,base,t_056,stims/tools/jumprope_simB.jpg,sim,5,3,bps2,tool,SIM_BL_CSp,,noUS
CSm,bps,t_057,stims/animals/dog.jpg,new,5,3,bps2,animal,NEW_BPS_CSm,,noUS
CSm,base,t_058,stims/animals/snapper.jpg,old,5,3,bps2,animal,OLD_BL_CSm,,noUS
CSm,ext,t_059,stims/animals/cassowary_simB.jpg,sim,5,3,bps2,animal,SIM_EXT_CSm,,noUS
CSp,ext,t_060,stims/tools/gong.jpg,old,5,3,bps2,tool,OLD_EXT_CSp,,noUS
CSp,ext,t_061,stims/tools/usb_simB.jpg,sim,5,3,bps2,tool,SIM_EXT_CSp,,noUS
CSm,acq,t_062,stims/animals/canary.jpg,old,5,3,bps2,animal,OLD_ACQ_CSm,,noUS
CSm,base,t_063,stims/animals/mole.jpg,old,5,3,bps2,animal,OLD_BL_CSm,,noUS
CSp,bps,t_064,stims/tools/spraybottle.jpg,new,5,3,bps2,tool,NEW_BPS_CSp,,noUS
CSp,bps,t_065,stims/tools/tubeflaring.jpg,new,5,3,bps2,tool,NEW_BPS_CSp,,noUS
CSm,bps,t_066,stims/animals/monkey.jpg,new,5,3,bps2,animal,NEW_BPS_CSm,,noUS
CSp,base,t_067,stims/tools/measuringcups.jpg,old,5,3,bps2,tool,OLD_BL_CSp,,noUS
CSm,acq,t_068,stims/animals/hyena.jpg,old,5,3,bps2,animal,OLD_ACQ_CSm,,noUS
CSp,bps,t_069,stims/tools/screwdriver.jpg,new,5,3,bps2,tool,NEW_BPS_CSp,,noUS
CSm,base,t_070,stims/animals/lobster_simB.jpg,sim,5,3,bps2,animal,SIM_BL_CSm,,noUS
CSp,acq,t_071,stims/tools/lantern_simB.jpg,sim,5,3,bps2,tool,SIM_ACQ_CSp,,YES_US
CSp,ext,t_072,stims/tools/glasses_simB.jpg,sim,5,3,bps2,tool,SIM_EXT_CSp,,noUS
